PROCESSO ADMIN. Nº,PROCESSO Nº,ARQUIVO_ORIGEM__gt,ARQUIVO_ORIGEM__pred,status
2018250235,0804254-69.2025.8.15.0371,019206_91_2025_8_15_SEI_019206_91.2025.8.15.zip,019206_91_2025_8_15_SEI_019206_91.2025.8.15.zip,TP
2025.2025,0865118-67.2024.8.15.2001,019218_71_2025_8_15_SEI_019218_71.2025.8.15.zip,019218_71_2025_8_15_SEI_019218_71.2025.8.15.zip,TP
2020.815,0845349-15.2020.8.15.2001,019296_38_2025_8_15_SEI_019296_38.2025.8.15.zip,019296_38_2025_8_15_SEI_019296_38.2025.8.15.zip,TP
2005042413,0800165-58.2024.8.15.0461,019316_37_2025_8_15_SEI_019316_37.2025.8.15.zip,019316_37_2025_8_15_SEI_019316_37.2025.8.15.zip,TP
2005042413,0800473-94.2024.8.15.0461,019325_22_2025_8_15_SEI_019325_22.2025.8.15.zip,019325_22_2025_8_15_SEI_019325_22.2025.8.15.zip,TP
2005042413,0801059-68.2023.8.15.0461,019328_17_2025_8_15_SEI_019328_17.2025.8.15.zip,019328_17_2025_8_15_SEI_019328_17.2025.8.15.zip,TP
2005042413,0800496-74.2023.8.15.0461,019330_46_2025_8_15_SEI_019330_46.2025.8.15.zip,019330_46_2025_8_15_SEI_019330_46.2025.8.15.zip,TP
2005042413,0801674-58.2023.8.15.0461,019333_41_2025_8_15_SEI_019333_41.2025.8.15.zip,019333_41_2025_8_15_SEI_019333_41.2025.8.15.zip,TP
2005042413,0801101-49.2025.8.15.0461,019337_02_2025_8_15_SEI_019337_02.2025.8.15.zip,019337_02_2025_8_15_SEI_019337_02.2025.8.15.zip,TP
2005042413,0800462-31.2025.8.15.0461,019341_60_2025_8_15_SEI_019341_60.2025.8.15.zip,019341_60_2025_8_15_SEI_019341_60.2025.8.15.zip,TP
2005042413,0801404-97.2024.8.15.0461,019342_26_2025_8_15_SEI_019342_26.2025.8.15.zip,019342_26_2025_8_15_SEI_019342_26.2025.8.15.zip,TP
2005042413,0800077-25.2021.8.15.0461,019343_89_2025_8_15_SEI_019343_89.2025.8.15.zip,019343_89_2025_8_15_SEI_019343_89.2025.8.15.zip,TP
